Original_Index,type,desc,text,remedial,tokenized_desc,tokenized_text
10,CHICKFARM,Chickens and Other Domestic Farm Animals,Section 17.16.330 (B) (2)(3) - Domestic Animals/Wildlife:  Chickens and other domestic farm animals are not permitted in this zoning district. ,CAAZ_CHICK_ANIMALS,"['Chickens', 'and', 'Other', 'Domestic', 'Farm', 'Animals']","['Section', '17.16.330', '(', 'B', ')', '(', '2', ')', '(', '3', ')', '-', 'Domestic', 'Animals/Wildlife', ':', 'Chickens', 'and', 'other', 'domestic', 'farm', 'animals', 'are', 'not', 'permitted', 'in', 'this', 'zoning', 'district', '.']"
11,CONSIGSALE,Consignment Sale,"Section 17.16.030 ((B) 4) - Consignment Sale (Residential Parcel): A consignment sale shall be prohibited, or any other offer for sale in connection with which any owner or occupant of real property undertakes to sell personal property, as an agent for another. ",CAAZ_CONSIGN_SALE,"['Consignment', 'Sale']","['Section', '17.16.030', '(', '(', 'B', ')', '4', ')', '-', 'Consignment', 'Sale', '(', 'Residential', 'Parcel', ')', ':', 'A', 'consignment', 'sale', 'shall', 'be', 'prohibited', ',', 'or', 'any', 'other', 'offer', 'for', 'sale', 'in', 'connection', 'with', 'which', 'any', 'owner', 'or', 'occupant', 'of', 'real', 'property', 'undertakes', 'to', 'sell', 'personal', 'property', ',', 'as', 'an', 'agent', 'for', 'another', '.']"
12,CROWDEDFM,Overcrowding – Unrelated Adults,"Section 16.24.030 & 17.04.060 - Overcrowding: No more than ""three"" unrelated persons may live together in a dwelling unit. ",CAAZ_OVCROWDEDFM,"['Overcrowding', '–', 'Unrelated', 'Adults']","['Section', '16.24.030', '&', '17.04.060', '-', 'Overcrowding', ':', 'No', 'more', 'than', '``', 'three', ""''"", 'unrelated', 'persons', 'may', 'live', 'together', 'in', 'a', 'dwelling', 'unit', '.']"
13,CROWDGH,Overcrowding – Group Home,Section 17.04.060 (2) - Family: No more than eight unrelated adults (mentally or physically handicapped) plus up to two care givers as per Tennessee Code Annotated 13-24-102 may reside in a dwelling unit.,CAAZ_OVCROWDEDGH,"['Overcrowding', '–', 'Group', 'Home']","['Section', '17.04.060', '(', '2', ')', '-', 'Family', ':', 'No', 'more', 'than', 'eight', 'unrelated', 'adults', '(', 'mentally', 'or', 'physically', 'handicapped', ')', 'plus', 'up', 'to', 'two', 'care', 'givers', 'as', 'per', 'Tennessee', 'Code', 'Annotated', '13-24-102', 'may', 'reside', 'in', 'a', 'dwelling', 'unit', '.']"
14,DUMPDESIG,Dumping in permitted places,Section 10.20.130 - Dumping permitted in designated places only: (A). It is unlawful for any person to dispose of or cause to be disposed any waste upon any property other than a disposal cility designated and approved by the metropolitan government. ,,"['Dumping', 'in', 'permitted', 'places']","['Section', '10.20.130', '-', 'Dumping', 'permitted', 'in', 'designated', 'places', 'only', ':', '(', 'A', ')', '.', 'It', 'is', 'unlawful', 'for', 'any', 'person', 'to', 'dispose', 'of', 'or', 'cause', 'to', 'be', 'disposed', 'any', 'waste', 'upon', 'any', 'property', 'other', 'than', 'a', 'disposal', 'cility', 'designated', 'and', 'approved', 'by', 'the', 'metropolitan', 'government', '.']"
16,DUMPSTER,Hours of Collection & Dumpster Required,Section 10.20.330 – Dumpsters – Hours of Collection: No person shall empty container between the hours of 11 p.m. and 7 a.m. when the containers are located within 600 feet of any residential structure.,CAMCL_LIT_NOTICE,"['Hours', 'of', 'Collection', '&', 'Dumpster', 'Required']","['Section', '10.20.330', '–', 'Dumpsters', '–', 'Hours', 'of', 'Collection', ':', 'No', 'person', 'shall', 'empty', 'container', 'between', 'the', 'hours', 'of', '11', 'p.m.', 'and', '7', 'a.m.', 'when', 'the', 'containers', 'are', 'located', 'within', '600', 'feet', 'of', 'any', 'residential', 'structure', '.']"
17,ECSYSHZ,Electrical System Hazards,"Section 16.24.490 (C) - Electrical System Hazards: [The] electrical system in a building or structure constitutes a hazard to the occupants or the building or structure by reason of  inadequate service,  improper fusing,  insufficient receptacles and  lighting outlets,  improper wiring,  or installation,  deterioration,  damage, or for similar reasons, the defects [are] to be corrected to eliminate the hazard. ",CAAE_ELECSYS_HAZ,"['Electrical', 'System', 'Hazards']","['Section', '16.24.490', '(', 'C', ')', '-', 'Electrical', 'System', 'Hazards', ':', '[', 'The', ']', 'electrical', 'system', 'in', 'a', 'building', 'or', 'structure', 'constitutes', 'a', 'hazard', 'to', 'the', 'occupants', 'or', 'the', 'building', 'or', 'structure', 'by', 'reason', 'of', 'inadequate', 'service', ',', 'improper', 'fusing', ',', 'insufficient', 'receptacles', 'and', 'lighting', 'outlets', ',', 'improper', 'wiring', ',', 'or', 'installation', ',', 'deterioration', ',', 'damage', ',', 'or', 'for', 'similar', 'reasons', ',', 'the', 'defects', '[', 'are', ']', 'to', 'be', 'corrected', 'to', 'eliminate', 'the', 'hazard', '.']"
18,ECSYSHZCRT,Electrical System Certification,Section 16.24.490 (C) - Electrical System Hazards (Certification): Electrical system must be inspected and certified to be in a safe operating condition by a licensed electrician.,CAAE_ELECSYS_HAZCERT,"['Electrical', 'System', 'Certification']","['Section', '16.24.490', '(', 'C', ')', '-', 'Electrical', 'System', 'Hazards', '(', 'Certification', ')', ':', 'Electrical', 'system', 'must', 'be', 'inspected', 'and', 'certified', 'to', 'be', 'in', 'a', 'safe', 'operating', 'condition', 'by', 'a', 'licensed', 'electrician', '.']"
19,ELECEAREC,Electrical Receptacles,Section 16.24.500 (B) Receptacles: Every habitable space in a dwelling shall contain at least two separate and remote receptacle outlets.  Every laundry area shall contain at least one ground-type receptacle or a receptacle with a ground fault circuit interrupter.  Every bathroom shall contain at least one receptacle.  Any new bathroom receptacle outlet shall have ground fault circuit interrupter protection.,CAAE_ELECEA_RECPT,"['Electrical', 'Receptacles']","['Section', '16.24.500', '(', 'B', ')', 'Receptacles', ':', 'Every', 'habitable', 'space', 'in', 'a', 'dwelling', 'shall', 'contain', 'at', 'least', 'two', 'separate', 'and', 'remote', 'receptacle', 'outlets', '.', 'Every', 'laundry', 'area', 'shall', 'contain', 'at', 'least', 'one', 'ground-type', 'receptacle', 'or', 'a', 'receptacle', 'with', 'a', 'ground', 'fault', 'circuit', 'interrupter', '.', 'Every', 'bathroom', 'shall', 'contain', 'at', 'least', 'one', 'receptacle', '.', 'Any', 'new', 'bathroom', 'receptacle', 'outlet', 'shall', 'have', 'ground', 'fault', 'circuit', 'interrupter', 'protection', '.']"
20,ELECEQ,Electrical Equipment ,"Section 16.24.500 (A) - Electrical Equipment Installation: All  electrical equipment,  wiring, and  appliances shall be properly installed and maintained in a safe and approved manner.",CAAE_ELEC_EQ,"['Electrical', 'Equipment']","['Section', '16.24.500', '(', 'A', ')', '-', 'Electrical', 'Equipment', 'Installation', ':', 'All', 'electrical', 'equipment', ',', 'wiring', ',', 'and', 'appliances', 'shall', 'be', 'properly', 'installed', 'and', 'maintained', 'in', 'a', 'safe', 'and', 'approved', 'manner', '.']"
21,ELECEQLIGH,Electrical Lighting Fixtures,"Section 16.24.500 (C) - Lighting Fixtures: Every  public hall,  interior stairway,  toilet room,  kitchen,  bathroom,  laundry room,  boiler room, and  furnace room shall contain at least one electric lighting fixture. ",CAAE_ELECEQ_LIGHT,"['Electrical', 'Lighting', 'Fixtures']","['Section', '16.24.500', '(', 'C', ')', '-', 'Lighting', 'Fixtures', ':', 'Every', 'public', 'hall', ',', 'interior', 'stairway', ',', 'toilet', 'room', ',', 'kitchen', ',', 'bathroom', ',', 'laundry', 'room', ',', 'boiler', 'room', ',', 'and', 'furnace', 'room', 'shall', 'contain', 'at', 'least', 'one', 'electric', 'lighting', 'fixture', '.']"
22,ELECFAC,Electrical Facilities Required,Section 16.24.490(A) - Electrical Facilities Required: Every occupied building or structure shall be provided with an electrical system in compliance with the requirements of this section and Section 16.24.530.,CAAE_ELECFAC,"['Electrical', 'Facilities', 'Required']","['Section', '16.24.490', '(', 'A', ')', '-', 'Electrical', 'Facilities', 'Required', ':', 'Every', 'occupied', 'building', 'or', 'structure', 'shall', 'be', 'provided', 'with', 'an', 'electrical', 'system', 'in', 'compliance', 'with', 'the', 'requirements', 'of', 'this', 'section', 'and', 'Section', '16.24.530', '.']"
23,ELECSVCPAN,Electrical Service Panel,"Section 16.24.490 (B) - Electrical Service: Service to the dwelling unit shall be a minimum of one hundred ampere, with three-wire capacity and service equipment shall be dead-front, having no live parts exposed.  Type “S” fuses shall be installed when fused equipment is used.",CAAE_ELECSVC_PANEL,"['Electrical', 'Service', 'Panel']","['Section', '16.24.490', '(', 'B', ')', '-', 'Electrical', 'Service', ':', 'Service', 'to', 'the', 'dwelling', 'unit', 'shall', 'be', 'a', 'minimum', 'of', 'one', 'hundred', 'ampere', ',', 'with', 'three-wire', 'capacity', 'and', 'service', 'equipment', 'shall', 'be', 'dead-front', ',', 'having', 'no', 'live', 'parts', 'exposed', '.', 'Type', '“', 'S', '”', 'fuses', 'shall', 'be', 'installed', 'when', 'fused', 'equipment', 'is', 'used', '.']"
24,EXPARK,Exterior Prop Area – Vehicles – Parking,"Section 16.24.330 (K)(3) – Motor Vehicles (Parking): Every motor vehicle located on private property shall be either stored inside a fully enclosed structure or similarly enclosed area designated and approved for such purposes, or parked or stored in a safe manner on a paved or graveled area, other than a sidewalk.  ",CAAH_EXT_PARK,"['Exterior', 'Prop', 'Area', '–', 'Vehicles', '–', 'Parking']","['Section', '16.24.330', '(', 'K', ')', '(', '3', ')', '–', 'Motor', 'Vehicles', '(', 'Parking', ')', ':', 'Every', 'motor', 'vehicle', 'located', 'on', 'private', 'property', 'shall', 'be', 'either', 'stored', 'inside', 'a', 'fully', 'enclosed', 'structure', 'or', 'similarly', 'enclosed', 'area', 'designated', 'and', 'approved', 'for', 'such', 'purposes', ',', 'or', 'parked', 'or', 'stored', 'in', 'a', 'safe', 'manner', 'on', 'a', 'paved', 'or', 'graveled', 'area', ',', 'other', 'than', 'a', 'sidewalk', '.']"
25,EXTACC,Exterior Prop Area – Acces Structures,"Section 16.24.330 (H) – Accessory Structures: All accessory structures, including detached garages, fences and walls, shall be maintained in a structurally sound manner, in good repair, and in an otherwise safe, clean, and sanitary condition.",CAAH_EXT_ACC,"['Exterior', 'Prop', 'Area', '–', 'Acces', 'Structures']","['Section', '16.24.330', '(', 'H', ')', '–', 'Accessory', 'Structures', ':', 'All', 'accessory', 'structures', ',', 'including', 'detached', 'garages', ',', 'fences', 'and', 'walls', ',', 'shall', 'be', 'maintained', 'in', 'a', 'structurally', 'sound', 'manner', ',', 'in', 'good', 'repair', ',', 'and', 'in', 'an', 'otherwise', 'safe', ',', 'clean', ',', 'and', 'sanitary', 'condition', '.']"
26,EXTBAHAT,Exterior of Bldgs – Basement Hatchways,"Section 16.24.340 (R) – Basement Hatchways: Basement hatchways, bulkhead enclosures, and crawl space access doors shall be maintained to prevent the entrance of rodents, rain, and surface drainage water.",CAAH_EXT_BAHAT,"['Exterior', 'of', 'Bldgs', '–', 'Basement', 'Hatchways']","['Section', '16.24.340', '(', 'R', ')', '–', 'Basement', 'Hatchways', ':', 'Basement', 'hatchways', ',', 'bulkhead', 'enclosures', ',', 'and', 'crawl', 'space', 'access', 'doors', 'shall', 'be', 'maintained', 'to', 'prevent', 'the', 'entrance', 'of', 'rodents', ',', 'rain', ',', 'and', 'surface', 'drainage', 'water', '.']"
27,EXTBAL,Exterior of Buildings - Balconies,"Section 16.24.340 (J) – Balconies: Every exterior balcony and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",CAAH_EXT_BALCO,"['Exterior', 'of', 'Buildings', '-', 'Balconies']","['Section', '16.24.340', '(', 'J', ')', '–', 'Balconies', ':', 'Every', 'exterior', 'balcony', 'and', 'all', 'appurtenances', 'attached', 'thereto', 'shall', 'be', 'maintained', 'structurally', 'sound', ',', 'in', 'good', 'repair', ',', 'with', 'proper', 'anchorage', ',', 'and', 'shall', 'be', 'capable', 'of', 'supporting', 'the', 'imposed', 'loads', '.']"
28,EXTCHIMTW,Exterior of Bldgs – Chimneys and Towers,"Section 16.24.340 (K) – Chimneys and towers: All chimneys, cooling towers, smoke stacks, and similar appurtenances shall be maintained structurally safe and sound, and in good repair. ",CAAH_EXT_CHIMTW,"['Exterior', 'of', 'Bldgs', '–', 'Chimneys', 'and', 'Towers']","['Section', '16.24.340', '(', 'K', ')', '–', 'Chimneys', 'and', 'towers', ':', 'All', 'chimneys', ',', 'cooling', 'towers', ',', 'smoke', 'stacks', ',', 'and', 'similar', 'appurtenances', 'shall', 'be', 'maintained', 'structurally', 'safe', 'and', 'sound', ',', 'and', 'in', 'good', 'repair', '.']"
29,EXTDEC,Exterior of Buildings – Decks,"Section 16.24.340 (J) – Decks: Every exterior deck and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",CAAH_EXT_DECK,"['Exterior', 'of', 'Buildings', '–', 'Decks']","['Section', '16.24.340', '(', 'J', ')', '–', 'Decks', ':', 'Every', 'exterior', 'deck', 'and', 'all', 'appurtenances', 'attached', 'thereto', 'shall', 'be', 'maintained', 'structurally', 'sound', ',', 'in', 'good', 'repair', ',', 'with', 'proper', 'anchorage', ',', 'and', 'shall', 'be', 'capable', 'of', 'supporting', 'the', 'imposed', 'loads', '.']"
30,EXTDECF,Exterior of Bldgs – Decorative Features,"Section 16.24.340 (H) – Decorative Features: All cornices, belt courses, corbels, terra cotta trim, wall facings, and similar decorative features shall be maintained in good repair with proper anchorage and in a safe condition.",CAAH_EXT_DECF,"['Exterior', 'of', 'Bldgs', '–', 'Decorative', 'Features']","['Section', '16.24.340', '(', 'H', ')', '–', 'Decorative', 'Features', ':', 'All', 'cornices', ',', 'belt', 'courses', ',', 'corbels', ',', 'terra', 'cotta', 'trim', ',', 'wall', 'facings', ',', 'and', 'similar', 'decorative', 'features', 'shall', 'be', 'maintained', 'in', 'good', 'repair', 'with', 'proper', 'anchorage', 'and', 'in', 'a', 'safe', 'condition', '.']"
31,EXTDENBW,Exterior Prop Area – Fences  Barbed Wire,Section 16.24.330 (O) – Fences (Barbed Wire): Barbed wire or razor wire fencing shall be prohibited in all residential zoning districts unless the property satisfies all of the requirements of Section 17.16.330. ,CAAH_EX_FENBW,"['Exterior', 'Prop', 'Area', '–', 'Fences', 'Barbed', 'Wire']","['Section', '16.24.330', '(', 'O', ')', '–', 'Fences', '(', 'Barbed', 'Wire', ')', ':', 'Barbed', 'wire', 'or', 'razor', 'wire', 'fencing', 'shall', 'be', 'prohibited', 'in', 'all', 'residential', 'zoning', 'districts', 'unless', 'the', 'property', 'satisfies', 'all', 'of', 'the', 'requirements', 'of', 'Section', '17.16.330', '.']"
32,EXTDOOR,Exterior of Buildings – Doors,"Section 16.24.340 (Q) – Doors: All exterior doors, door assemblies, and hardware shall be maintained in good condition. Locks at all entrances to dwelling units, rooming units and guestrooms shall tightly secure the door. Locks on means of egress doors shall be in accordance with the requirements of Section 16.24.530 as follows: All means of egress doors shall be readily openable from the side from which egress is to be made without the need for keys or special knowledge, tools, or effort, except where the door conforms to that permitted by the building code.",CAAH_EXT_DOOR,"['Exterior', 'of', 'Buildings', '–', 'Doors']","['Section', '16.24.340', '(', 'Q', ')', '–', 'Doors', ':', 'All', 'exterior', 'doors', ',', 'door', 'assemblies', ',', 'and', 'hardware', 'shall', 'be', 'maintained', 'in', 'good', 'condition', '.', 'Locks', 'at', 'all', 'entrances', 'to', 'dwelling', 'units', ',', 'rooming', 'units', 'and', 'guestrooms', 'shall', 'tightly', 'secure', 'the', 'door', '.', 'Locks', 'on', 'means', 'of', 'egress', 'doors', 'shall', 'be', 'in', 'accordance', 'with', 'the', 'requirements', 'of', 'Section', '16.24.530', 'as', 'follows', ':', 'All', 'means', 'of', 'egress', 'doors', 'shall', 'be', 'readily', 'openable', 'from', 'the', 'side', 'from', 'which', 'egress', 'is', 'to', 'be', 'made', 'without', 'the', 'need', 'for', 'keys', 'or', 'special', 'knowledge', ',', 'tools', ',', 'or', 'effort', ',', 'except', 'where', 'the', 'door', 'conforms', 'to', 'that', 'permitted', 'by', 'the', 'building', 'code', '.']"
33,EXTEPIDRES,Exterior of Buildings – Premises ID Res,"Section 16.24.340 (C)(1)– Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Residential property shall have their numbers at least three inches in size, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",CAAH_EXT_PIDRES,"['Exterior', 'of', 'Buildings', '–', 'Premises', 'ID', 'Res']","['Section', '16.24.340', '(', 'C', ')', '(', '1', ')', '–', 'Premises', 'Identification', ':', 'All', 'buildings', 'and', 'structures', 'within', 'Metropolitan', 'Nashville', 'and', 'Davidson', 'County', 'shall', 'have', 'approved', 'address', 'numbers', 'posted', '–', 'Residential', 'property', 'shall', 'have', 'their', 'numbers', 'at', 'least', 'three', 'inches', 'in', 'size', ',', 'on', 'a', 'contrasting', 'background', 'and', 'in', 'a', 'position', 'plainly', 'visible', 'and', 'legible', 'from', 'the', 'street', 'or', 'road', 'fronting', 'the', 'property', '.']"
34,EXTERMOCUP,Extermination – Multiple Occupancy,"Section 16.24.370 (C) - Extermination required (Multiple Occupancy) The owner of a building or structure containing two or more dwelling units, a multiple occupancy, a rooming house, or a nonresidential building or structure shall be responsible for extermination in the public or shared areas of the building or structure and exterior property. If infestation is caused by failure of an occupant to prevent such infestation in the area occupied by said occupant, the occupant shall be responsible for extermination.",CAAH_EXTER_MOCCUP,"['Extermination', '–', 'Multiple', 'Occupancy']","['Section', '16.24.370', '(', 'C', ')', '-', 'Extermination', 'required', '(', 'Multiple', 'Occupancy', ')', 'The', 'owner', 'of', 'a', 'building', 'or', 'structure', 'containing', 'two', 'or', 'more', 'dwelling', 'units', ',', 'a', 'multiple', 'occupancy', ',', 'a', 'rooming', 'house', ',', 'or', 'a', 'nonresidential', 'building', 'or', 'structure', 'shall', 'be', 'responsible', 'for', 'extermination', 'in', 'the', 'public', 'or', 'shared', 'areas', 'of', 'the', 'building', 'or', 'structure', 'and', 'exterior', 'property', '.', 'If', 'infestation', 'is', 'caused', 'by', 'failure', 'of', 'an', 'occupant', 'to', 'prevent', 'such', 'infestation', 'in', 'the', 'area', 'occupied', 'by', 'said', 'occupant', ',', 'the', 'occupant', 'shall', 'be', 'responsible', 'for', 'extermination', '.']"
35,EXTEROCCUP,Extermination – Single Occupant,Section 16.24.370 (B) - Extermination Required (Single Occupant) The occupant of a one-family dwelling or of a single-tenant nonresidential structure shall be responsible for extermination on the premises.,CAAH_EXTER_OCCUP,"['Extermination', '–', 'Single', 'Occupant']","['Section', '16.24.370', '(', 'B', ')', '-', 'Extermination', 'Required', '(', 'Single', 'Occupant', ')', 'The', 'occupant', 'of', 'a', 'one-family', 'dwelling', 'or', 'of', 'a', 'single-tenant', 'nonresidential', 'structure', 'shall', 'be', 'responsible', 'for', 'extermination', 'on', 'the', 'premises', '.']"
