Original_Index,type,desc,text,remedial,tokenized_desc,tokenized_text
820,BT575105B1,"Sales near schools, churches","T.C.A 57-5-105(b)(1): In order to receive a permit, an applicant must establish that No beer will be sold except at places where such sale will not cause congestion of traffic or interference with schools, churches, or other places of public gathering, or otherwise interfere with public health, safety and morals, the county legislative body having the right to forbid such storage, sale or manufacture at places within two thousand feet (2,000') of such places of public gatherings in its discretion. Nothing in this subdivision (b)(1) shall apply to places of business that are located in the terminal or main building at public airports serviced by commercial airlines with regularly scheduled flights;",,"['Sales', 'near', 'schools', ',', 'churches']","['T.C.A', '57-5-105', '(', 'b', ')', '(', '1', ')', ':', 'In', 'order', 'to', 'receive', 'a', 'permit', ',', 'an', 'applicant', 'must', 'establish', 'that', 'No', 'beer', 'will', 'be', 'sold', 'except', 'at', 'places', 'where', 'such', 'sale', 'will', 'not', 'cause', 'congestion', 'of', 'traffic', 'or', 'interference', 'with', 'schools', ',', 'churches', ',', 'or', 'other', 'places', 'of', 'public', 'gathering', ',', 'or', 'otherwise', 'interfere', 'with', 'public', 'health', ',', 'safety', 'and', 'morals', ',', 'the', 'county', 'legislative', 'body', 'having', 'the', 'right', 'to', 'forbid', 'such', 'storage', ',', 'sale', 'or', 'manufacture', 'at', 'places', 'within', 'two', 'thousand', 'feet', '(', '2,000', ""'"", ')', 'of', 'such', 'places', 'of', 'public', 'gatherings', 'in', 'its', 'discretion', '.', 'Nothing', 'in', 'this', 'subdivision', '(', 'b', ')', '(', '1', ')', 'shall', 'apply', 'to', 'places', 'of', 'business', 'that', 'are', 'located', 'in', 'the', 'terminal', 'or', 'main', 'building', 'at', 'public', 'airports', 'serviced', 'by', 'commercial', 'airlines', 'with', 'regularly', 'scheduled', 'flights', ';']"
821,BT575105B2,No sales to minors,"T.C.A 57-5-105(b)(2): In order to receive a permit, an applicant must establish that No sale shall be made to minors;",,"['No', 'sales', 'to', 'minors']","['T.C.A', '57-5-105', '(', 'b', ')', '(', '2', ')', ':', 'In', 'order', 'to', 'receive', 'a', 'permit', ',', 'an', 'applicant', 'must', 'establish', 'that', 'No', 'sale', 'shall', 'be', 'made', 'to', 'minors', ';']"
822,BT575105B3,Law violations by owners in past 10 yrs,"T.C.A 57-5-105(b)(3): In order to receive a permit, an applicant must establish that No person, firm, corporation, joint-stock company, syndicate, or association having at least a five percent (5%) ownership interest in the applicant has been convicted of any violation of the laws against possession, sale, manufacture, or transportation of beer or other alcoholic beverages, or the manufacture, delivery, sale or possession with intent to manufacture, deliver or sell any controlled substance or controlled substance analogue, or any crime involving moral turpitude within the past ten (10) years;",,"['Law', 'violations', 'by', 'owners', 'in', 'past', '10', 'yrs']","['T.C.A', '57-5-105', '(', 'b', ')', '(', '3', ')', ':', 'In', 'order', 'to', 'receive', 'a', 'permit', ',', 'an', 'applicant', 'must', 'establish', 'that', 'No', 'person', ',', 'firm', ',', 'corporation', ',', 'joint-stock', 'company', ',', 'syndicate', ',', 'or', 'association', 'having', 'at', 'least', 'a', 'five', 'percent', '(', '5', '%', ')', 'ownership', 'interest', 'in', 'the', 'applicant', 'has', 'been', 'convicted', 'of', 'any', 'violation', 'of', 'the', 'laws', 'against', 'possession', ',', 'sale', ',', 'manufacture', ',', 'or', 'transportation', 'of', 'beer', 'or', 'other', 'alcoholic', 'beverages', ',', 'or', 'the', 'manufacture', ',', 'delivery', ',', 'sale', 'or', 'possession', 'with', 'intent', 'to', 'manufacture', ',', 'deliver', 'or', 'sell', 'any', 'controlled', 'substance', 'or', 'controlled', 'substance', 'analogue', ',', 'or', 'any', 'crime', 'involving', 'moral', 'turpitude', 'within', 'the', 'past', 'ten', '(', '10', ')', 'years', ';']"
823,BT575105B4,Employee law violations in past 10 yrs,"T.C.A 57-5-105(b)(4): In order to receive a permit, an applicant must establish that No person employed by the applicant in such distribution or sale has been convicted of any violation of the laws against possession, sale, manufacture, or transportation of beer or other alcoholic beverages, or the manufacture, delivery, sale or possession with intent to manufacture, deliver or sell any controlled substance that is listed in Schedules I through V in title 39, chapter 17, part 4, or the manufacture, delivery, sale or possession with intent to manufacture, deliver or sell any controlled substance analogue, or any crime involving moral turpitude within the past ten (10) years; and",,"['Employee', 'law', 'violations', 'in', 'past', '10', 'yrs']","['T.C.A', '57-5-105', '(', 'b', ')', '(', '4', ')', ':', 'In', 'order', 'to', 'receive', 'a', 'permit', ',', 'an', 'applicant', 'must', 'establish', 'that', 'No', 'person', 'employed', 'by', 'the', 'applicant', 'in', 'such', 'distribution', 'or', 'sale', 'has', 'been', 'convicted', 'of', 'any', 'violation', 'of', 'the', 'laws', 'against', 'possession', ',', 'sale', ',', 'manufacture', ',', 'or', 'transportation', 'of', 'beer', 'or', 'other', 'alcoholic', 'beverages', ',', 'or', 'the', 'manufacture', ',', 'delivery', ',', 'sale', 'or', 'possession', 'with', 'intent', 'to', 'manufacture', ',', 'deliver', 'or', 'sell', 'any', 'controlled', 'substance', 'that', 'is', 'listed', 'in', 'Schedules', 'I', 'through', 'V', 'in', 'title', '39', ',', 'chapter', '17', ',', 'part', '4', ',', 'or', 'the', 'manufacture', ',', 'delivery', ',', 'sale', 'or', 'possession', 'with', 'intent', 'to', 'manufacture', ',', 'deliver', 'or', 'sell', 'any', 'controlled', 'substance', 'analogue', ',', 'or', 'any', 'crime', 'involving', 'moral', 'turpitude', 'within', 'the', 'past', 'ten', '(', '10', ')', 'years', ';', 'and']"
824,BT575105B5,Onsale permit for on premise consumption,"T.C.A 57-5-105(b)(5): In order to receive a permit, an applicant must establish that No sale shall be made for on-premise consumption unless the application so states.",,"['Onsale', 'permit', 'for', 'on', 'premise', 'consumption']","['T.C.A', '57-5-105', '(', 'b', ')', '(', '5', ')', ':', 'In', 'order', 'to', 'receive', 'a', 'permit', ',', 'an', 'applicant', 'must', 'establish', 'that', 'No', 'sale', 'shall', 'be', 'made', 'for', 'on-premise', 'consumption', 'unless', 'the', 'application', 'so', 'states', '.']"
825,BT575105D,False statement on application,T.C.A 57-5-105(d): Any applicant making a false statement in the application shall forfeit such applicant's permit and shall not be eligible to receive any permit for a period of ten (10) years.,,"['False', 'statement', 'on', 'application']","['T.C.A', '57-5-105', '(', 'd', ')', ':', 'Any', 'applicant', 'making', 'a', 'false', 'statement', 'in', 'the', 'application', 'shall', 'forfeit', 'such', 'applicant', ""'s"", 'permit', 'and', 'shall', 'not', 'be', 'eligible', 'to', 'receive', 'any', 'permit', 'for', 'a', 'period', 'of', 'ten', '(', '10', ')', 'years', '.']"
826,BT575107A,Hotel motel locked in room units,"T.C.A 57-5-107(a): Any hotel or motel licensed under this chapter and under chapter 4 of this title may dispense beer to adult guests through locked, in-room units.",,"['Hotel', 'motel', 'locked', 'in', 'room', 'units']","['T.C.A', '57-5-107', '(', 'a', ')', ':', 'Any', 'hotel', 'or', 'motel', 'licensed', 'under', 'this', 'chapter', 'and', 'under', 'chapter', '4', 'of', 'this', 'title', 'may', 'dispense', 'beer', 'to', 'adult', 'guests', 'through', 'locked', ',', 'in-room', 'units', '.']"
827,BT575107B,Hotel motel no under 21 get keys,"T.C.A 57-5-107(b): No person under the age of twenty-one (21) shall be issued or supplied with a key by any hotel or motel for such units. Such units may only be located in any such hotel or motel located in municipalities having a population in excess of one hundred thousand (100,000) if the voters of such municipality have approved the consumption of alcoholic beverages on the premises by referendum and in any county in which such municipalities are located if the voters of such county have approved the consumption of alcoholic beverages on the premises by referendum.",,"['Hotel', 'motel', 'no', 'under', '21', 'get', 'keys']","['T.C.A', '57-5-107', '(', 'b', ')', ':', 'No', 'person', 'under', 'the', 'age', 'of', 'twenty-one', '(', '21', ')', 'shall', 'be', 'issued', 'or', 'supplied', 'with', 'a', 'key', 'by', 'any', 'hotel', 'or', 'motel', 'for', 'such', 'units', '.', 'Such', 'units', 'may', 'only', 'be', 'located', 'in', 'any', 'such', 'hotel', 'or', 'motel', 'located', 'in', 'municipalities', 'having', 'a', 'population', 'in', 'excess', 'of', 'one', 'hundred', 'thousand', '(', '100,000', ')', 'if', 'the', 'voters', 'of', 'such', 'municipality', 'have', 'approved', 'the', 'consumption', 'of', 'alcoholic', 'beverages', 'on', 'the', 'premises', 'by', 'referendum', 'and', 'in', 'any', 'county', 'in', 'which', 'such', 'municipalities', 'are', 'located', 'if', 'the', 'voters', 'of', 'such', 'county', 'have', 'approved', 'the', 'consumption', 'of', 'alcoholic', 'beverages', 'on', 'the', 'premises', 'by', 'referendum', '.']"
828,BT575110A,Bond required,"T.C.A 57-5-110(a): All persons, firms, corporations, joint-stock companies, syndicates or associations in this state storing, selling, distributing and/or manufacturing beer in this state shall execute a bond securing the payment of the taxes levied, as the state privilege tax, under provisions hereof, the bond to be payable to the commissioner of revenue and to be signed by some solvent surety company residing in or having an office and agent in the state of Tennessee, and to be approved by the commissioner.",,"['Bond', 'required']","['T.C.A', '57-5-110', '(', 'a', ')', ':', 'All', 'persons', ',', 'firms', ',', 'corporations', ',', 'joint-stock', 'companies', ',', 'syndicates', 'or', 'associations', 'in', 'this', 'state', 'storing', ',', 'selling', ',', 'distributing', 'and/or', 'manufacturing', 'beer', 'in', 'this', 'state', 'shall', 'execute', 'a', 'bond', 'securing', 'the', 'payment', 'of', 'the', 'taxes', 'levied', ',', 'as', 'the', 'state', 'privilege', 'tax', ',', 'under', 'provisions', 'hereof', ',', 'the', 'bond', 'to', 'be', 'payable', 'to', 'the', 'commissioner', 'of', 'revenue', 'and', 'to', 'be', 'signed', 'by', 'some', 'solvent', 'surety', 'company', 'residing', 'in', 'or', 'having', 'an', 'office', 'and', 'agent', 'in', 'the', 'state', 'of', 'Tennessee', ',', 'and', 'to', 'be', 'approved', 'by', 'the', 'commissioner', '.']"
829,BT575110B,Bond rider required,"T.C.A 57-5-110(b): Such bond shall be conditioned upon and posted to secure the proper payment of all taxes for which the taxpayer may become liable during the taxpayer's initial license period of twelve (12) months, in the minimum penal sum of twenty thousand dollars ($20,000); provided, that after monthly reports have been received by the department which cover the initial three (3) full months of such person's operating experience, the penal sum may, upon written request of the taxpayer, be adjusted to an amount equal to no less than twice the amount of the tax required to be paid by such person per month and shall be determined by averaging such tax over the period of months immediately preceding the adjustment. If, at any time after the initial three (3) months operating experience, the commissioner shall determine the average monthly tax liability of a taxpayer to be greater than twenty thousand dollars ($20,000), the taxpayer shall be required to immediately file a rider to the taxpayer's bond to increase the penal sum of the bond to two (2) times the taxpayer's average monthly tax liability as determined by the commissioner.",,"['Bond', 'rider', 'required']","['T.C.A', '57-5-110', '(', 'b', ')', ':', 'Such', 'bond', 'shall', 'be', 'conditioned', 'upon', 'and', 'posted', 'to', 'secure', 'the', 'proper', 'payment', 'of', 'all', 'taxes', 'for', 'which', 'the', 'taxpayer', 'may', 'become', 'liable', 'during', 'the', 'taxpayer', ""'s"", 'initial', 'license', 'period', 'of', 'twelve', '(', '12', ')', 'months', ',', 'in', 'the', 'minimum', 'penal', 'sum', 'of', 'twenty', 'thousand', 'dollars', '(', '$', '20,000', ')', ';', 'provided', ',', 'that', 'after', 'monthly', 'reports', 'have', 'been', 'received', 'by', 'the', 'department', 'which', 'cover', 'the', 'initial', 'three', '(', '3', ')', 'full', 'months', 'of', 'such', 'person', ""'s"", 'operating', 'experience', ',', 'the', 'penal', 'sum', 'may', ',', 'upon', 'written', 'request', 'of', 'the', 'taxpayer', ',', 'be', 'adjusted', 'to', 'an', 'amount', 'equal', 'to', 'no', 'less', 'than', 'twice', 'the', 'amount', 'of', 'the', 'tax', 'required', 'to', 'be', 'paid', 'by', 'such', 'person', 'per', 'month', 'and', 'shall', 'be', 'determined', 'by', 'averaging', 'such', 'tax', 'over', 'the', 'period', 'of', 'months', 'immediately', 'preceding', 'the', 'adjustment', '.', 'If', ',', 'at', 'any', 'time', 'after', 'the', 'initial', 'three', '(', '3', ')', 'months', 'operating', 'experience', ',', 'the', 'commissioner', 'shall', 'determine', 'the', 'average', 'monthly', 'tax', 'liability', 'of', 'a', 'taxpayer', 'to', 'be', 'greater', 'than', 'twenty', 'thousand', 'dollars', '(', '$', '20,000', ')', ',', 'the', 'taxpayer', 'shall', 'be', 'required', 'to', 'immediately', 'file', 'a', 'rider', 'to', 'the', 'taxpayer', ""'s"", 'bond', 'to', 'increase', 'the', 'penal', 'sum', 'of', 'the', 'bond', 'to', 'two', '(', '2', ')', 'times', 'the', 'taxpayer', ""'s"", 'average', 'monthly', 'tax', 'liability', 'as', 'determined', 'by', 'the', 'commissioner', '.']"
