,id,type,desc,text,remedial
10,12,CHICKFARM,Chickens and Other Domestic Farm Animals,Section 17.16.330 (B) (2)(3) - Domestic Animals/Wildlife:  Chickens and other domestic farm animals are not permitted in this zoning district. ,CAAZ_CHICK_ANIMALS
11,13,CONSIGSALE,Consignment Sale,"Section 17.16.030 ((B) 4) - Consignment Sale (Residential Parcel): A consignment sale shall be prohibited, or any other offer for sale in connection with which any owner or occupant of real property undertakes to sell personal property, as an agent for another. ",CAAZ_CONSIGN_SALE
12,14,CROWDEDFM,Overcrowding – Unrelated Adults,"Section 16.24.030 & 17.04.060 - Overcrowding: No more than ""three"" unrelated persons may live together in a dwelling unit. ",CAAZ_OVCROWDEDFM
13,15,CROWDGH,Overcrowding – Group Home,Section 17.04.060 (2) - Family: No more than eight unrelated adults (mentally or physically handicapped) plus up to two care givers as per Tennessee Code Annotated 13-24-102 may reside in a dwelling unit.,CAAZ_OVCROWDEDGH
14,16,DUMPDESIG,Dumping in permitted places,Section 10.20.130 - Dumping permitted in designated places only: (A). It is unlawful for any person to dispose of or cause to be disposed any waste upon any property other than a disposal cility designated and approved by the metropolitan government. ,
16,17,DUMPSTER,Hours of Collection & Dumpster Required,Section 10.20.330 – Dumpsters – Hours of Collection: No person shall empty container between the hours of 11 p.m. and 7 a.m. when the containers are located within 600 feet of any residential structure.,CAMCL_LIT_NOTICE
17,18,ECSYSHZ,Electrical System Hazards,"Section 16.24.490 (C) - Electrical System Hazards: [The] electrical system in a building or structure constitutes a hazard to the occupants or the building or structure by reason of  inadequate service,  improper fusing,  insufficient receptacles and  lighting outlets,  improper wiring,  or installation,  deterioration,  damage, or for similar reasons, the defects [are] to be corrected to eliminate the hazard. ",CAAE_ELECSYS_HAZ
18,19,ECSYSHZCRT,Electrical System Certification,Section 16.24.490 (C) - Electrical System Hazards (Certification): Electrical system must be inspected and certified to be in a safe operating condition by a licensed electrician.,CAAE_ELECSYS_HAZCERT
19,20,ELECEAREC,Electrical Receptacles,Section 16.24.500 (B) Receptacles: Every habitable space in a dwelling shall contain at least two separate and remote receptacle outlets.  Every laundry area shall contain at least one ground-type receptacle or a receptacle with a ground fault circuit interrupter.  Every bathroom shall contain at least one receptacle.  Any new bathroom receptacle outlet shall have ground fault circuit interrupter protection.,CAAE_ELECEA_RECPT
20,21,ELECEQ,Electrical Equipment ,"Section 16.24.500 (A) - Electrical Equipment Installation: All  electrical equipment,  wiring, and  appliances shall be properly installed and maintained in a safe and approved manner.",CAAE_ELEC_EQ
21,22,ELECEQLIGH,Electrical Lighting Fixtures,"Section 16.24.500 (C) - Lighting Fixtures: Every  public hall,  interior stairway,  toilet room,  kitchen,  bathroom,  laundry room,  boiler room, and  furnace room shall contain at least one electric lighting fixture. ",CAAE_ELECEQ_LIGHT
22,23,ELECFAC,Electrical Facilities Required,Section 16.24.490(A) - Electrical Facilities Required: Every occupied building or structure shall be provided with an electrical system in compliance with the requirements of this section and Section 16.24.530.,CAAE_ELECFAC
23,24,ELECSVCPAN,Electrical Service Panel,"Section 16.24.490 (B) - Electrical Service: Service to the dwelling unit shall be a minimum of one hundred ampere, with three-wire capacity and service equipment shall be dead-front, having no live parts exposed.  Type “S” fuses shall be installed when fused equipment is used.",CAAE_ELECSVC_PANEL
24,25,EXPARK,Exterior Prop Area – Vehicles – Parking,"Section 16.24.330 (K)(3) – Motor Vehicles (Parking): Every motor vehicle located on private property shall be either stored inside a fully enclosed structure or similarly enclosed area designated and approved for such purposes, or parked or stored in a safe manner on a paved or graveled area, other than a sidewalk.  ",CAAH_EXT_PARK
25,26,EXTACC,Exterior Prop Area – Acces Structures,"Section 16.24.330 (H) – Accessory Structures: All accessory structures, including detached garages, fences and walls, shall be maintained in a structurally sound manner, in good repair, and in an otherwise safe, clean, and sanitary condition.",CAAH_EXT_ACC
26,27,EXTBAHAT,Exterior of Bldgs – Basement Hatchways,"Section 16.24.340 (R) – Basement Hatchways: Basement hatchways, bulkhead enclosures, and crawl space access doors shall be maintained to prevent the entrance of rodents, rain, and surface drainage water.",CAAH_EXT_BAHAT
27,28,EXTBAL,Exterior of Buildings - Balconies,"Section 16.24.340 (J) – Balconies: Every exterior balcony and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",CAAH_EXT_BALCO
28,29,EXTCHIMTW,Exterior of Bldgs – Chimneys and Towers,"Section 16.24.340 (K) – Chimneys and towers: All chimneys, cooling towers, smoke stacks, and similar appurtenances shall be maintained structurally safe and sound, and in good repair. ",CAAH_EXT_CHIMTW
29,30,EXTDEC,Exterior of Buildings – Decks,"Section 16.24.340 (J) – Decks: Every exterior deck and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",CAAH_EXT_DECK
30,31,EXTDECF,Exterior of Bldgs – Decorative Features,"Section 16.24.340 (H) – Decorative Features: All cornices, belt courses, corbels, terra cotta trim, wall facings, and similar decorative features shall be maintained in good repair with proper anchorage and in a safe condition.",CAAH_EXT_DECF
31,32,EXTDENBW,Exterior Prop Area – Fences  Barbed Wire,Section 16.24.330 (O) – Fences (Barbed Wire): Barbed wire or razor wire fencing shall be prohibited in all residential zoning districts unless the property satisfies all of the requirements of Section 17.16.330. ,CAAH_EX_FENBW
32,33,EXTDOOR,Exterior of Buildings – Doors,"Section 16.24.340 (Q) – Doors: All exterior doors, door assemblies, and hardware shall be maintained in good condition. Locks at all entrances to dwelling units, rooming units and guestrooms shall tightly secure the door. Locks on means of egress doors shall be in accordance with the requirements of Section 16.24.530 as follows: All means of egress doors shall be readily openable from the side from which egress is to be made without the need for keys or special knowledge, tools, or effort, except where the door conforms to that permitted by the building code.",CAAH_EXT_DOOR
33,34,EXTEPIDRES,Exterior of Buildings – Premises ID Res,"Section 16.24.340 (C)(1)– Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Residential property shall have their numbers at least three inches in size, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",CAAH_EXT_PIDRES
34,35,EXTERMOCUP,Extermination – Multiple Occupancy,"Section 16.24.370 (C) - Extermination required (Multiple Occupancy) The owner of a building or structure containing two or more dwelling units, a multiple occupancy, a rooming house, or a nonresidential building or structure shall be responsible for extermination in the public or shared areas of the building or structure and exterior property. If infestation is caused by failure of an occupant to prevent such infestation in the area occupied by said occupant, the occupant shall be responsible for extermination.",CAAH_EXTER_MOCCUP
35,36,EXTEROCCUP,Extermination – Single Occupant,Section 16.24.370 (B) - Extermination Required (Single Occupant) The occupant of a one-family dwelling or of a single-tenant nonresidential structure shall be responsible for extermination on the premises.,CAAH_EXTER_OCCUP
36,37,EXTEROWNER,Extermination – Owner,"Section 16.24.370 (A) - Extermination Required (Owner Responsibility) The owner of any building or structure shall be responsible for extermination within the building or structure, or part thereof, prior to renting or leasing the building or structure, or part thereof.",CAAH_EXTER_OWNER
37,38,EXTERREQ,Extermination Required,"Section 16.24.370 - Extermination Required. Approved extermination processes that are not injurious to human health shall be promptly employed to rid any building or structure in which insects or rodents are found. After extermination, proper precautions shall be taken to prevent re-infestation.",CAAH_EXTER_REQ
38,39,EXTERSOCC,Extermination – Occupant,Section 16.24.370 (D) - Extermination Required (Occupant) The occupant of any building or structure shall be responsible for the continued rodent and pest-free condition of the structure.,CAAH_EXTER_SOCCUP
39,40,EXTEXAH,Exterior Prop Area – Exhaust Vents,"Section 16.24.330 (G) – Exhaust Vents: Exhaust pipes, ducts, conductors, fans, vents, or blowers shall not discharge gases, steam, vapor, hot air, crease, smoke, odors, or other gaseous or particulate wastes directly upon abutting or adjacent public or private property or that of another tenant.",CAAH_EXT_EXAH
40,41,EXTEXTWALL,Exterior of Buildings – Exterior Walls,"Section 16.24.340 (F) – Exterior Walls: All exterior walls shall be free from holes, breaks, and loose or rotting materials, and shall be maintained in a weatherproof and properly coated where required to prevent deterioration.",CAAH_EXT_EXTWALL
41,42,EXTFDWALL,Exterior of Buildings – Foundation Walls,Section 16.24.340 (E) – Foundation Walls: All foundation walls shall be maintained plump and free from open cracks and break and shall be kept in such condition so as to prevent the entry of rodents and other pests.,CAAH_EXT_FDWALL
42,43,EXTFENMAIN,Exterior Prop Area – Fence Material Main,"Section 16.24.330 (M) – Fence Maintenance: Metal fences shall consist of materials manufactured and/or treated in a manner to prevent rust or corrosion. Wood fences shall be painted, stained or preserved in a manner to maintain the fence in food structural condition. This is not limited to the replacement of broken boards or sections and preventing paint from peeling.",CAAH_EXT_FENMAINT
43,44,EXTFENMAT,Exterior Prop Area – Fencing Materials,"Section 16.24.330 (L) – Fencing Materials: Fencing shall be either woven wire or chain link, wrought iron, wood, vinyl, steel or aluminum slats, masonry consisting of brick, concrete block, split-face block, dry-stack stones, or stones and mortar;  Plastic or other approved synthetic material, or decorative-type split rail or dry-stack stone used for decorative fences.",CAAH_EXT_FENMAT
44,45,EXTGATE,Exterior Prop Area – Gates,"Section 16.24.330 (I) – Gates: gates which are required to be self-closing and self-latching, in accordance with the Building Code shall be maintained such that the gate will positively close and latch when released from a still position of six inches from the gatepost.",CAAH_EXT_GATE
45,46,EXTGBAWIN,Exterior of Bldgs – Guards Basement Wind,"Section 16.24.340 (S) – Guards for Basement Windows: Every basement or cellar window, that is openable, shall be supplied with screens of standard-size mesh, or other approved protection against the entry of rodents.",CAAH_GBAWIN
46,47,EXTGLAZ,Exterior of Buildings – Glazing,Section 16.24.340 (N) – Glazing: All glazing materials shall be maintained free from cracks and holes.,CAAH_EXT_GLAZ
47,48,EXTGRAD,Exterior Prop Area – Grading Required,"Section 16.24.330 (C) – Grading Required: All premises shall be graded and maintained to prevent the erosion of soil and to prevent the accumulation of stagnant water thereon, or within any building or structure located thereon.",CAAH_EXT_GRAD
48,49,EXTGUTTTER,Exterior of Bldgs – Roofs– Gutter Sys,"Section 16.24.340 (G) – Roof Gutters: Roof drains, gutters, and downspouts shall be maintained in good repair and free from obstructions. Water shall not be discharged in a manner that creates a public nuisance.",CAAH_EXT_GUTTER
49,50,EXTHANDGRD,Exterior of Bldgs – Handrails and Guards,Section 16.24.340 (L) – Handrails and Guards: Every handrail and guard shall be firmly fastened and capable of supporting normally imposed loads and shall be maintained in good condition.,CAAH_EXT_HANDGRD
50,51,EXTOPNWIN,Exterior of Buildings – Openable Windows,"Section 16.24.340 (O) – Openable Windows: Every window, other than a fixed window shall open and close easily and shall be capable of being held in either position by window hardware.",CAAH_EXT_OPNWIN
51,52,EXTOVEXT,Exterior of Bldgs – Overhang Extensions,"Section 16.24.340 (I) – Overhang Extensions: All overhang extensions including, but not limited to canopies, marquees, signs, metal awnings, fire escapes, standpipes, and exhaust ducts shall be maintained in good repair and shall be properly anchored so as to be in a sound condition. ",CAAH_EXT_OVEXT
52,53,EXTPIDNRES,Exterior of Bldgs – Premises ID Nonres,"Section 16.24.340 (C)(2) – Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Nonresidential property shall have their numbers six inches or larger, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",CAAH_EXT_PIDNRES
53,54,EXTPIMFAM,Exterior of Bldg – Premises ID Multi-Fam,"Section 16.24.340 (C)(3) – Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Multifamily buildings shall have their numbers six inches or larger, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",CAAH_EXT_PIMFAM
54,55,EXTPOR,Exterior of Buildings - Porches,"Section 16.24.340 (J) – Porches: Every exterior porch and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",CAAH_EXT_PORC
55,56,EXTPRKAR,Exterior Prop Area – Designated Parking,Section 16.24.330 (K)(3) – Vehicle Parking Area: Any paved or graveled parking area for private residential property shall not exceed twenty-five percent of the total lot area. ,CAAH_EXT_PRKAR
56,57,EXTPTMET,Exterior of Bldgs – Treatment Metal Sur,Section 16.24.340 (B) – Protective Treatment (Metal Surfaces): All exterior surfaces shall be maintained in good condition. All metal surfaces subject to rust or corrosion shall be coated to inhibit such rust and corrosion and all surfaces with rust or corrosion shall be stabilized and coated to inhibit future rust and corrosion.,CAAH_EXT_PTMET
57,58,EXTPTSID,Exterior of Bldgs – Treatment (Siding),"Section 16.24.340 (B) – Protective Treatment (Siding): All exterior surfaces shall be maintained in good condition. All siding and masonry joints, as well as those between the building envelope and the perimeter of windows, doors, and skylights, shall be maintained weather resistant and water tight.",CAAH_EXT_PTSID
58,59,EXTPTWD,Exterior of Bldgs – Pro Treatment (Wood),"Section 16.24.340 (B) – Protective Treatment (Wood): All exterior surfaces, including but not limited to, doors, door and window frames, cornices, porches, trim balconies, decks and fences shall be maintained in good condition. Exterior wood surfaces, other than decay resistant woods, shall be protected from the elements and decay by painting or other protective covering or treatment.",CAAH_EXT_PTWD
59,60,EXTREPAIR,Exterior Repair – General,"Section 16.24.340 – Exterior Repair: The exterior of a building or structure shall be maintained in good repair, structurally sound, and in a clean and sanitary condition so as not to pose a threat to the public health, safety, or welfare. ",CAAH_EXTERIOR_REPAIR
60,61,EXTROD,Exterior Prop Area – Rodent Harborage,"Section 16.24.330 (F) – Rodent Harborage: All buildings, structures and exterior property shall be kept free from rodent harborage and infestation and conditions that promote or support rodent harborage and infestation. ",CAAH_EXT_ROD
61,62,EXTROFDRAN,Exterior of bldgs – Roofs– Drainage Sys,Section 16.24.340 (G) – Roof Drainage: Roof drainage shall be adequate to prevent dampness or deterioration in the walls or interior portion of the building or structure.,CAAH_EXT_ROFDRAN
62,63,EXTROFSYS,Exterior of Bldgs – Roofs – Roof System,"Section 16.24.340 (G) – Roof System: The roof and flashing shall be sound, tight, and not have defects that admit rain.",CAAH_EXT_ROFSYS
63,64,EXTSAN,Exterior Prop Area – Sanitation,"Section 16.24.330 (A) – Sanitation: All exterior property and premises shall be maintained in a safe, clean, and sanitary condition. The occupant of a building, structure or premises, or part thereof, shall keel that part of the exterior property and premises that such occupant occupies or controls in a safe, clean, and sanitary condition.",CAAH_EXT_SAN
64,65,EXTSCRENNR,Exterior of Bldgs  Insect Screens Nonres,"Section 16.24.340 (P) – Insect Screens: During the period from April 1st to November 1st, every door, window and other outside opening required for ventilation of food preparation areas, food service areas, or any areas where products to be included or utilized in food for human consumption are processed, manufactured, packaged or stored shall be supplied with approved tight fitting screens of not less than sixteen mesh per inch.",CAAH_EXT_INSSCNRES
65,66,EXTSCRNRES,Exterior of Bldgs – Insect Screens Res,"Section 16.24.340 (P) – Insect Screens: During the period from April 1st to November 1st, every door, window and other outside opening required for ventilation of habitable rooms shall be supplied with approved tight fitting screens of not less than sixteen mesh per inch. ",CAAH_EXT_INSSCRES
66,67,EXTSDWLK,Exterior Prop Area – Sidewalks,"Section 16.24.330 (D) – Sidewalks and Driveways: All sidewalks, walkways, stairs, driveways, parking spaces, and similar areas shall be kept in a proper state of repair, shall be maintained free from hazardous conditions, and shall be kept in a safe, clean, and sanitary condition.",CAAH_EXT_SDWLK
67,68,EXTSTA,Exterior of Buildings – Stairways,"Section 16.24.340 (J) – Stairways: Every exterior stairway and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.  ",CAAH_EXT_STAIRW
68,69,EXTSTMEM,Exterior of Bldgs – Structural Members,"Section 16.24.340 (D) – Structural Members: All structural members shall be maintained free from deterioration, and shall be capable of safely supporting the imposed dead and live loads.",CAAH_EXT_STMEM
69,70,EXTSWIM,Exterior Prop Area – Swimming Pools,"Section 16.24.330 (J) – Swimming Pools: Swimming pools shall be maintained in a safe, clean, and sanitary condition, and in good repair.",CAAH_EXT_SWIM
70,71,EXTTRLS,Exterior Prop Area – Trailers Watercraft,"Section 16.24.330 (P) – Trailers and Watercraft: No trailer or watercraft located on private single family or two-family residential property shall be stored in the front yard of the property, but shall be stored on a paved or graveled driveway, or behind the front façade of the residential structure.",CAAH_EXT_TRLS
71,72,EXTVEHCON,Exterior Prop Area – Veh – Inop/Unlc,Section 16.24.330 (K)(1) – Motor Vehicles (Condition): No inoperable or currently unregistered motor vehicle shall be openly parked or stored on any premises within the area of the metropolitan government.,CAAH_EXT_VEHCON
72,73,EXTVEHPT,Exterior Prop Area – Vehicle Painting,Section 16.24.330 (K)(4) – Vehicle Painting: Painting of motor vehicles is prohibited unless conducted inside an approved spray booth.,CAAH_EXT_VEHPT
73,74,EXTVEHRP,Exterior Prop Area – Veh – Dis/Repair,"Section 16.24.330 (K)(1) – Motor Vehicles (Repair): No vehicle shall be at any time in a state of major disassembly or disrepair, nor shall it be in the process of being stripped or dismantled, nor shall it undergo a major overhaul, including body work, on any private property (residential).",CAAH_EXT_VEHRP
74,75,EXTWEED,Exterior Prop Area – High Weeds,Section 16.24.330 (E) – High Weeds: All premises and exterior property shall be maintained free from weeds in excess of twelve inches.,CAAH_EXT_WEED
75,76,EXTWINDDRF,"Ext of Bldgs – Wind, Skylit Door Frames","Section 16.24.340 (M) – Window, Skylight and Door Frames: Every window, skylight, door and frame shall be maintained in good condition.",CAAH_EXT_WINDDRF
76,77,FENCEGHTPR,Fence Height – Off Right-Of-Way (opaque),Section 17.12.040 (E) 26(a) - Screening Walls or Fences (Off Right-of-way): Greatest vertical exposure (privacy or opaque type fences) shall be two and one half feet in height within ten feet of a street right-of-way.,CAAZ_FENCE_HGT_PRV
77,78,FENCEHGFRT,Fence Height – Inside Front Setback,Section 17.12.040 (E) 26(b) - Screening Walls or Fences (Front Setback) Greatest vertical exposure shall be six feet in height within the remainder of the required front setback.,CAAZ_FENCE_HGT_FRT
78,79,FENCEHGSR,Fence Height – Side and Rear Setback,Section 17.12.040 (E) 26(c) - Screening Walls or Fences (Side and Rear Setback) Greatest vertical exposure shall be eight feet in height within the required side or rear setback or within any platted common open space.,CAAZ_FENCE_HGT_SRER
79,80,FENCEHGTOP,Fence Height – Off Right-Of-Way (open),"Section 17.12.040 (E) 26(a) - Screening Walls or Fences (Off Right-of-way): Greatest vertical exposure for open fences, such as chain link or those of a similar nature are permitted to be six feet in height.",CAAZ_FENCE_HGT_OPN
80,81,FIREDOORS,Fire Safety – Emergency Escape (Doors),"Section 16.24.530 (H) - Locked Doors: All means of egress doors shall be readily openable from the side from which egress is to be made without the need for keys, tools, or special knowledge or effort.",CAAF_FIRESF_DOORS
81,82,FIREPSMDIN,Fire Protection – Smoke Detector Install,"Section 16.24.550 (B) - 1a & b Installation: Existing one and two-family dwellings -  outside each separate sleeping room, in the immediate vicinity of the sleeping room and  on each additional story of the dwelling unit including basements.",CAAF_FIREPROT_SMDINS
82,83,FIRESFESC,Fire Safety – Emergency Escape,"Section 16.24.530 (B) - Emergency Escape and Rescue Openings: Basements with habitable rooms and every sleeping room shall have at least one openable emergency escape and rescue window or exterior door opening.  Where openings are provided as a means of escape and rescue, they shall have a sill height of not more than forty-four inches.",CAAF_FIRESF_ESC
83,84,FIRESFGEN,Fire Safety Requirements – Egress,"Section 16.24.530 (A) - General: A safe, continuous, and unobstructed means of egress shall be provided from any point in a building or structure to the public way, in accordance with the requirements of the building code and fire code as adopted by the metropolitan government.",CAAF_FIRESF_GEN
84,85,FIRESFNCO,Fire Safety – Emergency Escape (Opening),Section 16.24.530 (C) - Minimum Net Clear Opening: All emergency escape and rescue openings shall have a minimum net clear opening of four square feet.,CAAF_FIRESF_NCO
85,86,FIRESFNCOH,Fire Safety – Emergency Escape (Height),Section 16.24.530 (D) - Minimum Net Clear Opening Height: All emergency escape and rescue openings shall have a minimum net clear opening height of twenty-four inches.,CAAF_FIRESF_NCOH
86,87,FIRESFNCOW,Fire Safety – Emergency Escape (Width),Section 16.24.530 (E) - Minimum Net Clear Opening Width: All emergency escape and rescue openings shall have a minimum net clear opening width of twenty inches.,CAAF_FIRESF_NCOW
87,88,FIRESFOP,Fire Safety – Emergency Escape (Op),"Section 16.24.530 (F) - Operation: Required emergency escape and rescue openings shall be operational from the inside of the room or space without the use of keys or special tools, knowledge, or effort.",CAAF_FIRESF_OP
88,89,FIRESMKDET,Fire Protection – Smoke Detectors,Section 16.24.550 (A) - Smoke Detectors: Existing Group R occupancies not already provided with single-station smoke alarms/detectors shall be provided with approved single-station smoke alarms/detectors,CAAF_FIREPROT_SMKDET
89,90,GARAGESAL,Garage Sales,"Section 17.16.250 (B) - Garage Sale: Within any calendar year, a maximum of two garage sale events shall occur per residence. ",CAAZ_GARAGE_SALE
90,91,GRAFFITI,Exterior of Buildings – Graffiti,"Section 16.24.340 (T) – Defacement of Property: No person shall willfully or wantonly damage, mutilate, or deface any exterior surface of any building or structure, located on any private or public property, by placing thereon any marking, carving, or graffiti. It shall be the duty of the owner of the building, structure, and or real property on which the building or structure is located to restore said surface to an approved state of maintenance and repair.",CAAH_GRAFFITI
91,92,HAZWASGEN,"Hazardous, pathogenic, radioactive waste","Section 10.20.240 - Hazardous, pathogenic and radioactive waste: All Hazardous waste shall be disposed of by the entity generating such waste under such methods and conditions as shall be approved by the director. Any such entity may apply for a special permit as a private collector or may dispose of hazardous waste by licensed private collectors.",CAMCL_HAZ_WASTE_GEN
92,93,HAZWSTPATH,"Hazardous, pathogenic, radioactive waste","Section 10.20.240 - Hazardous, pathogenic and radioactive waste: All pathogenic and radioactive waste shall be disposed of by the entity generating such waste under such conditions as shall be approved by the metropolitan health department and the state department of environment and conservation. ",CAMCL_HAZ_WST_PATH
93,94,HEATREC,Heating – Heating Facilities Required,Section 16.24-470 (A) - Heating Required Heating facilities shall be provided in buildings and structures as required by this section.,CAAH_HEAT_REC
94,95,HEATRES,Heating – Residential Occupancies,"Section 16.24.470 (B) - Heating (Residential) Dwellings shall be provided with heating facilities capable of maintaining a room temperature of sixty-five degrees Fahrenheit in all habitable rooms, bathrooms, and toilet rooms based on a winter outdoor design temperature of fourteen degrees Fahrenheit, in accordance with Appendix D of the 2000 Edition of the Standard Plumbing Code. ",CAAH_HEAT_RES
95,96,HEATSUPPLY,Heating – Heat Supply,"Section 16.24.470 (C) - Heat (Supply) Every owner, lessee, or operator of any building or structure who rents, leases, or lets one or more dwelling units, rooming units, dormitory rooms, or guestrooms on terms, either expressed or implied, to furnish heat to the occupants thereof shall supply heat during the period from October 1st to April 30th to maintain a temperature of not less than sixty-five degrees Fahrenheit in all habitable rooms, bathrooms, and toilet rooms.",CAAH_HEAT_SUPPLY
96,97,HEATWRKSPC,Heat – Occupiable Work Spaces,"Section 16.24.470 (D) - Heat (Work Spaces) Indoor occupiable work spaces shall be supplied with heat during the period from October 1st to April 30th to maintain a temperature of not less than sixty-five degrees Fahrenheit, when the spaces are occupied.",CAAH_HEAT_WRK_SPC
97,98,HOMEOCC,Home Occupation – Permit Required,Section 17.16.250 (C) - Home Occupation (Permit): A home occupation shall be considered an accessory use to a residence [requires a permit with conditions],CAAZ_HOMEOCC
98,99,HOMEOCCCON,Home Occupation – Conditions,"Section 17.16.250 (C) - Home Occupation (Conditions): A home occupation shall be considered an accessory use to a residence [permitted under certain conditions, one or more conditions not met]",CAAZ_HOME_OCC
99,100,HSANSTD,Sanitation requirements,"Section 10.36.020 - Sanitation requirements: Every dwelling and every part thereof shall be kept clean and free from any accumulation of dirt, filth, rubbish, garbage or similar matter, and shall be kept free from vermin or rodent infestation. All yards, lawns and courts shall be similarly kept clean and free from rodent infestation. It shall be the duty of each occupant of a dwelling unit to keep in a clean condition that portion of the property which he occupies or over which he has control.",CAMCL_HSAN_VACBD
100,101,HSANVACBD,Vacation of buildings,"Section 10.36.030 - Vacation of buildings: Whenever it is found by the chief medical director that the remedies available to the agency of the metropolitan government having primary responsibility in the field of housing are inadequate to protect an existing or threatened menace to the public health, and that a dwelling is unfit for human habitation or dangerous to life or health by reason of the existence on the premises of any condition likely to cause sickness or injury among the occupants of such dwelling, or for any other causes affecting the public health, the chief medical director may issue an order requiring such dwelling to be vacated.",CAMCL_QUAR_HOLE
101,102,INTBLDGN,Interiors of Bldgs and Structures Gen,"Section 16.24.350 (A) – Building Interior (General): The interior of a building or structure and any equipment therein shall be maintained in good repair, structurally sound, and in an otherwise clean and sanitary condition. Occupants shall keep that part of the building or structure that they occupy or control in a clean and sanitary condition. Every owner of a building or structure containing a rooming house, a hotel, a dormitory, two or more dwelling units, or two or more nonresidential occupancies, shall maintain, in a clean and sanitary condition, the shared or public areas of the structure and exterior property.",CAAH_INT_BLDGN
102,103,INTBLDSUR,Interior of Buildings - Surfaces,"Section 16.24.350 (C) - Interior Surfaces. All interior surfaces, including windows and doors, shall be maintained in good, clean and sanitary condition. Peeling, chipping, flaking, or abraded paint shall be repaired, removed, or covered. Cracked or loose plaster, decayed wood, and other defective surface conditions shall be corrected.",CAAH_INT_BLDSUR
103,104,INTHNDGRD,Interior of Bldgs – Handrails and Guards,Section 16.24.350 (E) - Handrails and Guards. Every handrail and guard shall be firmly fastened and capable of supporting normally imposed loads and shall be maintained in good condition.,CAAH_INT_HNDGRD
