Original_Index,type,desc,text,remedial,tokenized_desc,tokenized_text
901,,,"E.   Letter of permission to use the Property  (From property owner, Parks Department, Public Works, etc.)",,[],"['E.', 'Letter', 'of', 'permission', 'to', 'use', 'the', 'Property', '(', 'From', 'property', 'owner', ',', 'Parks', 'Department', ',', 'Public', 'Works', ',', 'etc', '.', ')']"
902,,N,F.   Present verifiable proof of proper security.,10635.0,['N'],"['F.', 'Present', 'verifiable', 'proof', 'of', 'proper', 'security', '.']"
905,,N,"Premeditated murder, all sex related crimes, selling of Schedule 1 and 2 controlled substances illegally, and fraud and/or embezzlement.  For purposes of this Rule, the Board recognizes the identification of Schedule 1 and 2 substances as defined by Tennessee Code Annotated sections 39-17-406 and 39-6-408, respectively.",10635.0,['N'],"['Premeditated', 'murder', ',', 'all', 'sex', 'related', 'crimes', ',', 'selling', 'of', 'Schedule', '1', 'and', '2', 'controlled', 'substances', 'illegally', ',', 'and', 'fraud', 'and/or', 'embezzlement', '.', 'For', 'purposes', 'of', 'this', 'Rule', ',', 'the', 'Board', 'recognizes', 'the', 'identification', 'of', 'Schedule', '1', 'and', '2', 'substances', 'as', 'defined', 'by', 'Tennessee', 'Code', 'Annotated', 'sections', '39-17-406', 'and', '39-6-408', ',', 'respectively', '.']"
908,,N,Failure to provide documents verifying Fire Marshal’s approval may result in automatic deferral of applications until said document has been provided by the applicant.  It is the responsibility of the applicant to ensure that documents verifying metropolitan Fire Marshal’s approval are provided to the Metropolitan Beer Permit Board administrative offices.,10635.0,['N'],"['Failure', 'to', 'provide', 'documents', 'verifying', 'Fire', 'Marshal', '’', 's', 'approval', 'may', 'result', 'in', 'automatic', 'deferral', 'of', 'applications', 'until', 'said', 'document', 'has', 'been', 'provided', 'by', 'the', 'applicant', '.', 'It', 'is', 'the', 'responsibility', 'of', 'the', 'applicant', 'to', 'ensure', 'that', 'documents', 'verifying', 'metropolitan', 'Fire', 'Marshal', '’', 's', 'approval', 'are', 'provided', 'to', 'the', 'Metropolitan', 'Beer', 'Permit', 'Board', 'administrative', 'offices', '.']"
913,,,All applications for beer permits must be filed at the office of the Metropolitan Beer Board at least ten (10) business days prior to the date of hearing by the Board.,,[],"['All', 'applications', 'for', 'beer', 'permits', 'must', 'be', 'filed', 'at', 'the', 'office', 'of', 'the', 'Metropolitan', 'Beer', 'Board', 'at', 'least', 'ten', '(', '10', ')', 'business', 'days', 'prior', 'to', 'the', 'date', 'of', 'hearing', 'by', 'the', 'Board', '.']"
914,,N,"This amended rule supersedes and replaces the Rule 26 that was adopted on March 24, 1992, Rule 7 that was adopted on July 26, 1988, and the rule that was adopted on June 24, 1992.",10635.0,['N'],"['This', 'amended', 'rule', 'supersedes', 'and', 'replaces', 'the', 'Rule', '26', 'that', 'was', 'adopted', 'on', 'March', '24', ',', '1992', ',', 'Rule', '7', 'that', 'was', 'adopted', 'on', 'July', '26', ',', '1988', ',', 'and', 'the', 'rule', 'that', 'was', 'adopted', 'on', 'June', '24', ',', '1992', '.']"
917,,N,"However, in the event of a complete change in ownership, when the former owner has relinquished all of his interest in the location at issue, a temporary permit may be granted to the new owner of a location if no violation is pending against him and if he meets all the requirements for obtaining a permit.",10635.0,['N'],"['However', ',', 'in', 'the', 'event', 'of', 'a', 'complete', 'change', 'in', 'ownership', ',', 'when', 'the', 'former', 'owner', 'has', 'relinquished', 'all', 'of', 'his', 'interest', 'in', 'the', 'location', 'at', 'issue', ',', 'a', 'temporary', 'permit', 'may', 'be', 'granted', 'to', 'the', 'new', 'owner', 'of', 'a', 'location', 'if', 'no', 'violation', 'is', 'pending', 'against', 'him', 'and', 'if', 'he', 'meets', 'all', 'the', 'requirements', 'for', 'obtaining', 'a', 'permit', '.']"
919,,,"Any business grandfathered under either of the foregoing shall continue to be grandfathered so long as a beer permit remains 'in effect without a lapse of more than three hundred sixty-five (365) days, even if there is a change of ownership. The period without a permit (lapse) is counted as follows: the first day counted is the day after expiration of the prior permit and the last day counted is the day that the application for a new annual permit is filed.",,[],"['Any', 'business', 'grandfathered', 'under', 'either', 'of', 'the', 'foregoing', 'shall', 'continue', 'to', 'be', 'grandfathered', 'so', 'long', 'as', 'a', 'beer', 'permit', 'remains', ""'in"", 'effect', 'without', 'a', 'lapse', 'of', 'more', 'than', 'three', 'hundred', 'sixty-five', '(', '365', ')', 'days', ',', 'even', 'if', 'there', 'is', 'a', 'change', 'of', 'ownership', '.', 'The', 'period', 'without', 'a', 'permit', '(', 'lapse', ')', 'is', 'counted', 'as', 'follows', ':', 'the', 'first', 'day', 'counted', 'is', 'the', 'day', 'after', 'expiration', 'of', 'the', 'prior', 'permit', 'and', 'the', 'last', 'day', 'counted', 'is', 'the', 'day', 'that', 'the', 'application', 'for', 'a', 'new', 'annual', 'permit', 'is', 'filed', '.']"
920,,N,"2. The distance requirements do not apply to a retailer on-premises (on sale) permit that is: (1) for an establishment that is located in an MUL zoning district, as determined by Codes Administration, (2) that is obtained prior to April 30, 1993, and (3) that is for an establishment for which more than fifty percent (50%) of the gross sales are derived from the sale of food, excluding sales of alcoholic beverages. A retailer on-premises permit that is exempt from the distance requirements in accordance with the foregoing remains exempt so long as it remains in effect without a lapse of more than three hundred sixty five (365) days",10635.0,['N'],"['2', '.', 'The', 'distance', 'requirements', 'do', 'not', 'apply', 'to', 'a', 'retailer', 'on-premises', '(', 'on', 'sale', ')', 'permit', 'that', 'is', ':', '(', '1', ')', 'for', 'an', 'establishment', 'that', 'is', 'located', 'in', 'an', 'MUL', 'zoning', 'district', ',', 'as', 'determined', 'by', 'Codes', 'Administration', ',', '(', '2', ')', 'that', 'is', 'obtained', 'prior', 'to', 'April', '30', ',', '1993', ',', 'and', '(', '3', ')', 'that', 'is', 'for', 'an', 'establishment', 'for', 'which', 'more', 'than', 'fifty', 'percent', '(', '50', '%', ')', 'of', 'the', 'gross', 'sales', 'are', 'derived', 'from', 'the', 'sale', 'of', 'food', ',', 'excluding', 'sales', 'of', 'alcoholic', 'beverages', '.', 'A', 'retailer', 'on-premises', 'permit', 'that', 'is', 'exempt', 'from', 'the', 'distance', 'requirements', 'in', 'accordance', 'with', 'the', 'foregoing', 'remains', 'exempt', 'so', 'long', 'as', 'it', 'remains', 'in', 'effect', 'without', 'a', 'lapse', 'of', 'more', 'than', 'three', 'hundred', 'sixty', 'five', '(', '365', ')', 'days']"
924,,N,"These provisions shall apply unless the permit holder is a responsible vendor as recognized pursuant to MCL § 7.08.110 or unless otherwise provided by law. If the permit holder was, at the time of the sale, a responsible vendor, the board shall not suspend or revoke the permit of the responsible vendor, but may impose a civil penalty not to exceed $1000 in lieu of any suspension that would have been imposed but for the permit holder being a responsible vendor.",10635.0,['N'],"['These', 'provisions', 'shall', 'apply', 'unless', 'the', 'permit', 'holder', 'is', 'a', 'responsible', 'vendor', 'as', 'recognized', 'pursuant', 'to', 'MCL', '§', '7.08.110', 'or', 'unless', 'otherwise', 'provided', 'by', 'law', '.', 'If', 'the', 'permit', 'holder', 'was', ',', 'at', 'the', 'time', 'of', 'the', 'sale', ',', 'a', 'responsible', 'vendor', ',', 'the', 'board', 'shall', 'not', 'suspend', 'or', 'revoke', 'the', 'permit', 'of', 'the', 'responsible', 'vendor', ',', 'but', 'may', 'impose', 'a', 'civil', 'penalty', 'not', 'to', 'exceed', '$', '1000', 'in', 'lieu', 'of', 'any', 'suspension', 'that', 'would', 'have', 'been', 'imposed', 'but', 'for', 'the', 'permit', 'holder', 'being', 'a', 'responsible', 'vendor', '.']"
931,,N,"A grant and delay will be valid for 90 days.  After the expiration of 90 days, the approval expires and the applicant must request in writing to be put back onto the Beer Permit Board agenda.",10635.0,['N'],"['A', 'grant', 'and', 'delay', 'will', 'be', 'valid', 'for', '90', 'days', '.', 'After', 'the', 'expiration', 'of', '90', 'days', ',', 'the', 'approval', 'expires', 'and', 'the', 'applicant', 'must', 'request', 'in', 'writing', 'to', 'be', 'put', 'back', 'onto', 'the', 'Beer', 'Permit', 'Board', 'agenda', '.']"
126,MVENVEND,Mobile Vending,"Ordinance BL2006-1283 - Mobile Vendor: The peddling, vending, selling, display, or offer for sale of goods, wares or merchandise at a temporary location and/or on a temporary or occassional basis [is prohibited].",CAAZ_MVEN_VENDING,"['Mobile', 'Vending']","['Ordinance', 'BL2006-1283', '-', 'Mobile', 'Vendor', ':', 'The', 'peddling', ',', 'vending', ',', 'selling', ',', 'display', ',', 'or', 'offer', 'for', 'sale', 'of', 'goods', ',', 'wares', 'or', 'merchandise', 'at', 'a', 'temporary', 'location', 'and/or', 'on', 'a', 'temporary', 'or', 'occassional', 'basis', '[', 'is', 'prohibited', ']', '.']"
196,TRASHCANS,Trash Cans,"Ordinance 89-826 - Trash Cans: Refuse containers are to be placed at curb, street or alley no later than 7:00 a.m. on the scheduled day of collection and removed from the curb by 7:00 p.m. on the day of collection.",CAAH_TRASH_CANS,"['Trash', 'Cans']","['Ordinance', '89-826', '-', 'Trash', 'Cans', ':', 'Refuse', 'containers', 'are', 'to', 'be', 'placed', 'at', 'curb', ',', 'street', 'or', 'alley', 'no', 'later', 'than', '7:00', 'a.m.', 'on', 'the', 'scheduled', 'day', 'of', 'collection', 'and', 'removed', 'from', 'the', 'curb', 'by', '7:00', 'p.m.', 'on', 'the', 'day', 'of', 'collection', '.']"
209,SWVIOLPTP,Violations - Post Construction Treatment,See SW Code,,"['Violations', '-', 'Post', 'Construction', 'Treatment']","['See', 'SW', 'Code']"
210,SWVIOLWQ,Violations for Water Quality Impacts,See SW Code,,"['Violations', 'for', 'Water', 'Quality', 'Impacts']","['See', 'SW', 'Code']"
211,SWENVCRT,Environmental Court Proceedings,See SW Code,,"['Environmental', 'Court', 'Proceedings']","['See', 'SW', 'Code']"
212,SWVIOLGP,Violations - for Construction Activities,See SW Code,,"['Violations', '-', 'for', 'Construction', 'Activities']","['See', 'SW', 'Code']"
213,917,HOUSE DISREPAIR,,,"['HOUSE', 'DISREPAIR']",[]
215,CAAA_BOAT,BOAT STORAGE IN FRONT YARD PROHIBITED,No trailer or watercraft shall be stored in the front yard on the grass but may be stored on a paved or gavel driveway in front of the house.  A trailer or watercraft may be stored in the yard behind the front facade of the residential structure.,,"['BOAT', 'STORAGE', 'IN', 'FRONT', 'YARD', 'PROHIBITED']","['No', 'trailer', 'or', 'watercraft', 'shall', 'be', 'stored', 'in', 'the', 'front', 'yard', 'on', 'the', 'grass', 'but', 'may', 'be', 'stored', 'on', 'a', 'paved', 'or', 'gavel', 'driveway', 'in', 'front', 'of', 'the', 'house', '.', 'A', 'trailer', 'or', 'watercraft', 'may', 'be', 'stored', 'in', 'the', 'yard', 'behind', 'the', 'front', 'facade', 'of', 'the', 'residential', 'structure', '.']"
226,CAAA_LANDLORD_REGSTR,LANDLORD REGISTRATION,"Failure to register as a landlord.  T.C.A. 66-28-101 requires each landlord of one (1) or more dwelling units within Davidson County to pay a $10 registration fee and furnish the following information to the Department of Codes (A) the landlord's name, address and telephone number, or the name, address and telephone number of the landlord's agent; and (B) list the street address and unit number, as appropriate, for each dwelling unit that the landlord owns, leases, or subleases or has the right to own, lease, or sublease.  Fee is due and payable the same time period as Metro Property Taxes.  Make checks payable to the Metro Dept. of Codes & Building Safety.  Mail or bring to: Landlord Registration, 800 Second Avenue South, 3rd Floor, Nashville, TN 37210.  Registration forms may be obtained from www.nashville.gov/codes or by calling 615-862-6590.",,"['LANDLORD', 'REGISTRATION']","['Failure', 'to', 'register', 'as', 'a', 'landlord', '.', 'T.C.A', '.', '66-28-101', 'requires', 'each', 'landlord', 'of', 'one', '(', '1', ')', 'or', 'more', 'dwelling', 'units', 'within', 'Davidson', 'County', 'to', 'pay', 'a', '$', '10', 'registration', 'fee', 'and', 'furnish', 'the', 'following', 'information', 'to', 'the', 'Department', 'of', 'Codes', '(', 'A', ')', 'the', 'landlord', ""'s"", 'name', ',', 'address', 'and', 'telephone', 'number', ',', 'or', 'the', 'name', ',', 'address', 'and', 'telephone', 'number', 'of', 'the', 'landlord', ""'s"", 'agent', ';', 'and', '(', 'B', ')', 'list', 'the', 'street', 'address', 'and', 'unit', 'number', ',', 'as', 'appropriate', ',', 'for', 'each', 'dwelling', 'unit', 'that', 'the', 'landlord', 'owns', ',', 'leases', ',', 'or', 'subleases', 'or', 'has', 'the', 'right', 'to', 'own', ',', 'lease', ',', 'or', 'sublease', '.', 'Fee', 'is', 'due', 'and', 'payable', 'the', 'same', 'time', 'period', 'as', 'Metro', 'Property', 'Taxes', '.', 'Make', 'checks', 'payable', 'to', 'the', 'Metro', 'Dept', '.', 'of', 'Codes', '&', 'Building', 'Safety', '.', 'Mail', 'or', 'bring', 'to', ':', 'Landlord', 'Registration', ',', '800', 'Second', 'Avenue', 'South', ',', '3rd', 'Floor', ',', 'Nashville', ',', 'TN', '37210', '.', 'Registration', 'forms', 'may', 'be', 'obtained', 'from', 'www.nashville.gov/codes', 'or', 'by', 'calling', '615-862-6590', '.']"
236,CAAA_TRASH_CANS,TRASH CANS,"Ord. 89-826 - Trash Cans: Refuse containers shall be placed at curb, street or alley no later than 7:00 a.m. on the scheduled day of collection and removed the same day.",,"['TRASH', 'CANS']","['Ord', '.', '89-826', '-', 'Trash', 'Cans', ':', 'Refuse', 'containers', 'shall', 'be', 'placed', 'at', 'curb', ',', 'street', 'or', 'alley', 'no', 'later', 'than', '7:00', 'a.m.', 'on', 'the', 'scheduled', 'day', 'of', 'collection', 'and', 'removed', 'the', 'same', 'day', '.']"
350,CAAH_TRASH_CANS,TRASH CANS,"Ordinance 89-826 - Trash Cans: Refuse containers are to be placed at curb, street or alley no later than 7:00 a.m. on the scheduled day of collection and removed from the curb by 7:00 p.m. on the day of collection.",,"['TRASH', 'CANS']","['Ordinance', '89-826', '-', 'Trash', 'Cans', ':', 'Refuse', 'containers', 'are', 'to', 'be', 'placed', 'at', 'curb', ',', 'street', 'or', 'alley', 'no', 'later', 'than', '7:00', 'a.m.', 'on', 'the', 'scheduled', 'day', 'of', 'collection', 'and', 'removed', 'from', 'the', 'curb', 'by', '7:00', 'p.m.', 'on', 'the', 'day', 'of', 'collection', '.']"
380,CAAZ_CERT_COMPLY,CERTIFICATE COMPLIANCE REQ,"Following issuance of a zoning permit, no structure or zone lot shall be used or occupied until the zoning administrator has certified in a final inspection that the property is in full compliance with all applicable provisions of the zoning code.  The certificate shall be posted within the building in a manner viewable by the public.  Metro Zoning Code 17.40.580.",,"['CERTIFICATE', 'COMPLIANCE', 'REQ']","['Following', 'issuance', 'of', 'a', 'zoning', 'permit', ',', 'no', 'structure', 'or', 'zone', 'lot', 'shall', 'be', 'used', 'or', 'occupied', 'until', 'the', 'zoning', 'administrator', 'has', 'certified', 'in', 'a', 'final', 'inspection', 'that', 'the', 'property', 'is', 'in', 'full', 'compliance', 'with', 'all', 'applicable', 'provisions', 'of', 'the', 'zoning', 'code', '.', 'The', 'certificate', 'shall', 'be', 'posted', 'within', 'the', 'building', 'in', 'a', 'manner', 'viewable', 'by', 'the', 'public', '.', 'Metro', 'Zoning', 'Code', '17.40.580', '.']"
394,CAAZ_MVEN_VENDING,MOBILE VENDING,"Ordinance BL2006-1283 - Mobile Vendor: The peddling, vending, selling, display, or offer for sale of goods, wares or merchandise at a temporary location and/or on a temporary or occassional basis [is prohibited].",,"['MOBILE', 'VENDING']","['Ordinance', 'BL2006-1283', '-', 'Mobile', 'Vendor', ':', 'The', 'peddling', ',', 'vending', ',', 'selling', ',', 'display', ',', 'or', 'offer', 'for', 'sale', 'of', 'goods', ',', 'wares', 'or', 'merchandise', 'at', 'a', 'temporary', 'location', 'and/or', 'on', 'a', 'temporary', 'or', 'occassional', 'basis', '[', 'is', 'prohibited', ']', '.']"
440,CAE01,REWIRE,-Completely rewire the house or apartment and provide adequate size electrical service panel and provide an adequate number of electrical outlets in each habitable rooms and bathroom to comply with electrical Code.,,['REWIRE'],"['-Completely', 'rewire', 'the', 'house', 'or', 'apartment', 'and', 'provide', 'adequate', 'size', 'electrical', 'service', 'panel', 'and', 'provide', 'an', 'adequate', 'number', 'of', 'electrical', 'outlets', 'in', 'each', 'habitable', 'rooms', 'and', 'bathroom', 'to', 'comply', 'with', 'electrical', 'Code', '.']"
442,CAE02,ELECTRICAL SERVICE PANEL,-provide adequate size electrical service panel.,,"['ELECTRICAL', 'SERVICE', 'PANEL']","['-provide', 'adequate', 'size', 'electrical', 'service', 'panel', '.']"
444,CAE03,RELOCATE ELECTRICAL SERVICE,-Relocate electrical service panel that is exposed to the weather.,,"['RELOCATE', 'ELECTRICAL', 'SERVICE']","['-Relocate', 'electrical', 'service', 'panel', 'that', 'is', 'exposed', 'to', 'the', 'weather', '.']"
446,CAE04,CONDUIT AND WEATHERHEAD,-provide conduit and weather head for exterior exposed entrance cables.,,"['CONDUIT', 'AND', 'WEATHERHEAD']","['-provide', 'conduit', 'and', 'weather', 'head', 'for', 'exterior', 'exposed', 'entrance', 'cables', '.']"
448,CAE05,BATHROOM/KITCHEN GFCI OUTLET,-provide bathroom / kitchen receptacle outlet with GFCI protection.,,"['BATHROOM/KITCHEN', 'GFCI', 'OUTLET']","['-provide', 'bathroom', '/', 'kitchen', 'receptacle', 'outlet', 'with', 'GFCI', 'protection', '.']"
450,CAE06,ELECTRICAL SYSTEM CHECKED AND CERTIFIED,-Have electrical system checked and certified by a licensed electrical to be adequate and in good repair,,"['ELECTRICAL', 'SYSTEM', 'CHECKED', 'AND', 'CERTIFIED']","['-Have', 'electrical', 'system', 'checked', 'and', 'certified', 'by', 'a', 'licensed', 'electrical', 'to', 'be', 'adequate', 'and', 'in', 'good', 'repair']"
452,CAE07,REPAIR DEFECTIVE SERVICE PANEL,-repair defective service panel to comply with electrical Code.,,"['REPAIR', 'DEFECTIVE', 'SERVICE', 'PANEL']","['-repair', 'defective', 'service', 'panel', 'to', 'comply', 'with', 'electrical', 'Code', '.']"
454,CAE08,"REPLACE, REPAIR DEFECTIVE EQUIP.",-repair defective service panel to comply with electrical Code.,,"['REPLACE', ',', 'REPAIR', 'DEFECTIVE', 'EQUIP', '.']","['-repair', 'defective', 'service', 'panel', 'to', 'comply', 'with', 'electrical', 'Code', '.']"
456,CAE09,REPLACE MISSING WALL OUTLET COVER,-Replace missing or damaged wall outlet covers.,,"['REPLACE', 'MISSING', 'WALL', 'OUTLET', 'COVER']","['-Replace', 'missing', 'or', 'damaged', 'wall', 'outlet', 'covers', '.']"
458,CAE10,REPLACE MISSING WALL SWITCH COVERS,-Replace missing or damaged wall switch covers.,,"['REPLACE', 'MISSING', 'WALL', 'SWITCH', 'COVERS']","['-Replace', 'missing', 'or', 'damaged', 'wall', 'switch', 'covers', '.']"
460,CAE11,REPLACE SUBSTANDARD WIRING (DROP-CORDS),-Replace substandard wiring (drop-cords).,,"['REPLACE', 'SUBSTANDARD', 'WIRING', '(', 'DROP-CORDS', ')']","['-Replace', 'substandard', 'wiring', '(', 'drop-cords', ')', '.']"
462,CAE12,PROVIDE CONDUITS FOR EXPOSED WIRING,-provide conduits for exposed wiring.,,"['PROVIDE', 'CONDUITS', 'FOR', 'EXPOSED', 'WIRING']","['-provide', 'conduits', 'for', 'exposed', 'wiring', '.']"
464,CAE13,REMOVE EXTENSION CORDS,-Remove extension cords that are being used for permanent wiring and Replace with properly installed wall outlets.,,"['REMOVE', 'EXTENSION', 'CORDS']","['-Remove', 'extension', 'cords', 'that', 'are', 'being', 'used', 'for', 'permanent', 'wiring', 'and', 'Replace', 'with', 'properly', 'installed', 'wall', 'outlets', '.']"
466,CAE14,REPLACE CEILING LIGHT FIXTURE COVERS,-Replace ceiling light fixture covers.,,"['REPLACE', 'CEILING', 'LIGHT', 'FIXTURE', 'COVERS']","['-Replace', 'ceiling', 'light', 'fixture', 'covers', '.']"
468,CAE15,PROVIDE JUNCTION BOX,-provide junction box for spliced wiring in the basement.,,"['PROVIDE', 'JUNCTION', 'BOX']","['-provide', 'junction', 'box', 'for', 'spliced', 'wiring', 'in', 'the', 'basement', '.']"
470,CAE16,EXTERIOR PORCH LIGHT,-Replace or repair defective exterior porch light.,,"['EXTERIOR', 'PORCH', 'LIGHT']","['-Replace', 'or', 'repair', 'defective', 'exterior', 'porch', 'light', '.']"
471,CAE17,REPLACE MISSING FUSE BLANKS,-Replace missing fuse blanks inside circuit breaker.,,"['REPLACE', 'MISSING', 'FUSE', 'BLANKS']","['-Replace', 'missing', 'fuse', 'blanks', 'inside', 'circuit', 'breaker', '.']"
473,CAE18,"REMOVE, REPLACE SUDSTANDARD WIRING",-Remove or Replace substandard wiring.,,"['REMOVE', ',', 'REPLACE', 'SUDSTANDARD', 'WIRING']","['-Remove', 'or', 'Replace', 'substandard', 'wiring', '.']"
475,CAE19,BATHROOM GFCI OUTLET,-Replace the defective wall outlet in the bathroom with a ground fault protection outlet.,,"['BATHROOM', 'GFCI', 'OUTLET']","['-Replace', 'the', 'defective', 'wall', 'outlet', 'in', 'the', 'bathroom', 'with', 'a', 'ground', 'fault', 'protection', 'outlet', '.']"
477,CAE20,DEFECTIVE WALL OUTLETS ON EXTERIOR,-Replace or repair defective wall outlets on exterior wall.,,"['DEFECTIVE', 'WALL', 'OUTLETS', 'ON', 'EXTERIOR']","['-Replace', 'or', 'repair', 'defective', 'wall', 'outlets', 'on', 'exterior', 'wall', '.']"
479,CAE21,CORRECT OTHER ELECTRICAL DEFECTS,-Correct any other defects necessary to make the electrical system comply with the electrical Code.,,"['CORRECT', 'OTHER', 'ELECTRICAL', 'DEFECTS']","['-Correct', 'any', 'other', 'defects', 'necessary', 'to', 'make', 'the', 'electrical', 'system', 'comply', 'with', 'the', 'electrical', 'Code', '.']"
494,CAGM02,DEFECTIVE ELECTRIC WALL BASE HEATER,-repair or Replace defective electric (wall heater or baseboard heater) and restore to good operating condition.,,"['DEFECTIVE', 'ELECTRIC', 'WALL', 'BASE', 'HEATER']","['-repair', 'or', 'Replace', 'defective', 'electric', '(', 'wall', 'heater', 'or', 'baseboard', 'heater', ')', 'and', 'restore', 'to', 'good', 'operating', 'condition', '.']"
496,CAGM03,MISSING HEAT CONTROL KNOBS,-Replace missing heat control knobs on electric wall heaters and restore to good operating condition.,,"['MISSING', 'HEAT', 'CONTROL', 'KNOBS']","['-Replace', 'missing', 'heat', 'control', 'knobs', 'on', 'electric', 'wall', 'heaters', 'and', 'restore', 'to', 'good', 'operating', 'condition', '.']"
498,CAGM04,SEAL OPEN GRATE,-Close and seal open grate which appears to be a safety hazard.,,"['SEAL', 'OPEN', 'GRATE']","['-Close', 'and', 'seal', 'open', 'grate', 'which', 'appears', 'to', 'be', 'a', 'safety', 'hazard', '.']"
500,CAGM05,DEFECTIVE HEAT SUPPLY VENTS IN BASEMENT,-Replace or repair defective heat supply vents in basement from the furnace.,,"['DEFECTIVE', 'HEAT', 'SUPPLY', 'VENTS', 'IN', 'BASEMENT']","['-Replace', 'or', 'repair', 'defective', 'heat', 'supply', 'vents', 'in', 'basement', 'from', 'the', 'furnace', '.']"
502,CAGM06,HEATING SYSTEM PROPERLY INSTALLED,-provide adequate heating system properly installed in a safe working condition and capable of heating all habitable rooms and bathroom to a temperature of sixty-five degrees when outside temperature is zero degrees.,,"['HEATING', 'SYSTEM', 'PROPERLY', 'INSTALLED']","['-provide', 'adequate', 'heating', 'system', 'properly', 'installed', 'in', 'a', 'safe', 'working', 'condition', 'and', 'capable', 'of', 'heating', 'all', 'habitable', 'rooms', 'and', 'bathroom', 'to', 'a', 'temperature', 'of', 'sixty-five', 'degrees', 'when', 'outside', 'temperature', 'is', 'zero', 'degrees', '.']"
504,CAGM07,ADEQUATE VENTILATION FOR BATHROOM,"-provide adequate ventilation for bathroom, openable window or exhaust fan.  NOTE: bathroom windows shall face directly to the outdoors and not into an enclosed room.",,"['ADEQUATE', 'VENTILATION', 'FOR', 'BATHROOM']","['-provide', 'adequate', 'ventilation', 'for', 'bathroom', ',', 'openable', 'window', 'or', 'exhaust', 'fan', '.', 'NOTE', ':', 'bathroom', 'windows', 'shall', 'face', 'directly', 'to', 'the', 'outdoors', 'and', 'not', 'into', 'an', 'enclosed', 'room', '.']"
506,CAGM08,SMOKE DETECTORS,-provide smoke detectors in all sleeping rooms and hall areas.,,"['SMOKE', 'DETECTORS']","['-provide', 'smoke', 'detectors', 'in', 'all', 'sleeping', 'rooms', 'and', 'hall', 'areas', '.']"
508,CAGM09,HVAC SYSTEM REPAIR,-Forced air heat and air system needs repair.,,"['HVAC', 'SYSTEM', 'REPAIR']","['-Forced', 'air', 'heat', 'and', 'air', 'system', 'needs', 'repair', '.']"
510,CAGM10,FORCED AIR DUCT REPAIR,-Forced air duct work needs repair.,,"['FORCED', 'AIR', 'DUCT', 'REPAIR']","['-Forced', 'air', 'duct', 'work', 'needs', 'repair', '.']"
520,CAGZ_OTH,OTHER VIOLATIONS,Other:,,"['OTHER', 'VIOLATIONS']","['Other', ':']"
